Autor,Gênero,Coautores Diretos,Centralidade Grau,Intermediacao (Betweenness),Proximidade (Closeness)
Anselmo P. R. Costa,Masculino,4,0.003568,0.0,0.089685
Pernille Bjorn,Feminino,4,0.003568,0.0,0.090889
Marcelo Perin,Masculino,4,0.003568,0.0,0.090889
Raquel C. M. Minardi,Feminino,4,0.003568,0.0,0.015171
Diego A. F. Barros,Masculino,4,0.003568,0.0,0.015171
Maria L. B. Villela,Feminino,4,0.003568,0.0,0.015171
Lucas Bastos,Masculino,4,0.003568,0.0,0.014205
Manoel Miranda,Masculino,4,0.003568,0.0,0.014205
Julio Reis,Masculino,4,0.003568,0.0,0.014205
Clever R. G. Farias,Masculino,4,0.003568,6e-06,0.003568
Muller G. Miranda,Masculino,4,0.003568,0.0,0.077244
Renato P. Ferreira,Masculino,4,0.003568,0.0,0.077244
Carlos H. Lopes,Masculino,4,0.003568,0.0,0.077244
Pedro O. V. Melo,Masculino,4,0.003568,0.0,0.017155
Gustavo F. Silva,Masculino,4,0.003568,0.0,0.004371
Karen Botelho,Feminino,4,0.003568,0.0,0.098576
Pedro C. Silveira,Masculino,4,0.003568,0.0,0.10773
Guilherme Fogaca,Masculino,4,0.003568,0.0,0.10773
Luiz P. D. Correa,Masculino,4,0.003568,0.0,0.017155
Antonio H. G. Leite,Masculino,4,0.003568,0.0,0.017155
Alexandre M. Arruda,Masculino,4,0.003568,0.0,0.003568
Anna B. Marques,Feminino,4,0.003568,0.0,0.003568
Marcos G. M. Mauricio,Masculino,4,0.003568,0.0,0.003568
Marcio R. Teixeira,Masculino,4,0.003568,0.0,0.003568
Carlos E. F. Azevedo,Masculino,4,0.003568,0.0,0.003568
Angela M. N. Mendonca,Feminino,4,0.003568,0.0,0.003568
Andre F. E. Ferreira,Masculino,4,0.003568,0.0,0.003568
Rafael E. L. Escalfoni,Masculino,4,0.003568,2e-05,0.101122
Rayane Santos,Feminino,4,0.003568,0.0,0.004371
Raphael Saraiva,Masculino,4,0.003568,0.0,0.004371
Kauan D. B. Sousa,Masculino,4,0.003568,0.0,0.003568
Denise R. A. Carvalho,Feminino,4,0.003568,0.0,0.003568
Leonardo Gargano,Masculino,4,0.003568,0.000843,0.106903
Jacilane Rabelo,Feminino,4,0.003568,2e-06,0.092773
Leonardo D. P. Machado,Masculino,4,0.003568,1e-06,0.020709
Bruno B. Lage,Masculino,4,0.003568,0.0,0.113385
Roberta Salim,Feminino,4,0.003568,0.0,0.113385
Rayol M. Neto,Masculino,4,0.003568,0.0,0.005575
Fabio Bezerra,Masculino,4,0.003568,0.003352,0.08078
Julli C. Modesto,Feminino,4,0.003568,0.0,0.106994
Jones O. Albuquerque,Masculino,4,0.003568,0.0,0.066839
Alan K. O. Moraes,Masculino,4,0.003568,0.0,0.066839
Yuri A. M. Barbosa,Masculino,4,0.003568,0.0,0.066839
Cleyton C. Trindade,Masculino,4,0.003568,0.0,0.066839
Fabio F. S. Junior,Masculino,4,0.003568,0.0,0.085029
Diego S. Souza,Masculino,4,0.003568,0.0,0.10773
George A. F. Gomes,Masculino,4,0.003568,0.0,0.003568
Jacilane H. Rabelo,Feminino,4,0.003568,0.0,0.003568
Marina Rocha,Feminino,4,0.003568,0.0,0.003568
Jorge L. Sousa,Masculino,4,0.003568,0.0,0.003568
Israely Lima,Feminino,4,0.003568,0.0,0.003568
Eriky R. Goncalves,Masculino,4,0.003568,0.0,0.003568
Carolina Andrade,Feminino,4,0.003568,0.0,0.012529
Rafael S. M. Ferreira,Masculino,4,0.003568,0.0,0.012529
Pedro Antunes,Masculino,4,0.003568,0.001682,0.099992
Cleidson R. Souza,Masculino,4,0.003568,0.004182,0.069916
Carolina S. Andrade,Feminino,4,0.003568,0.0,0.005161
Victor F. Cavalcante,Masculino,4,0.003568,0.0,0.005161
Ana P. Appel,Feminino,4,0.003568,0.0,0.005161
Jacques Wainer,Masculino,4,0.003568,0.002522,0.069125
Lenine V. Oliveira,Masculino,4,0.003568,0.0,0.106994
Gabriel A. S. Guimaraes,Masculino,4,0.003568,0.0,0.106994
Caroline B. Figueiredo,Feminino,4,0.003568,0.0,0.106994
Lucas M. S. Jesus,Masculino,4,0.003568,0.0,0.089814
Lucas A. S. Ferreira,Masculino,4,0.003568,0.0,0.089814
Apoena J. N. Avelar,Feminino,4,0.003568,0.0,0.089814
Lucas R. B. Schmitz,Masculino,4,0.003568,0.0,0.066839
Eduardo R. Pinto,Masculino,4,0.003568,0.0,0.066839
Joao B. M. Alves,Masculino,4,0.003568,0.0,0.003568
Juarez B. Silva,Masculino,4,0.003568,0.0,0.003568
Hamadou Saliah-Hassane,Masculino,4,0.003568,0.0,0.003568
Joao P. C. Lima,Masculino,4,0.003568,0.0,0.003568
Jose P. S. Simao,Masculino,4,0.003568,0.0,0.003568
Evandrino G. Barros,Masculino,4,0.003568,0.0,0.012529
Pedro M. Bernardo,Masculino,4,0.003568,0.0,0.012529
Luis F. M. P. Maia,Masculino,4,0.003568,0.0,0.118421
Breno B. Fontel,Masculino,4,0.003568,0.0,0.004371
Gustavo C. A. Lima,Masculino,4,0.003568,0.0,0.004371
Gustavo A. A. Coelho,Masculino,4,0.003568,0.0,0.004371
Iona Rameh,Feminino,4,0.003568,0.0,0.004014
Marcela M. M. Yagui,Feminino,4,0.003568,0.0,0.118421
Eber A. Schmitz,Masculino,4,0.003568,0.001682,0.090429
Emanuel Coutinho,Masculino,4,0.003568,0.0,0.003568
Carla Bezerra,Feminino,4,0.003568,0.0,0.003568
Francisco Pinheiro,Masculino,4,0.003568,0.0,0.003568
Alan Gomes,Masculino,4,0.003568,0.0,0.003568
Welligton Abreu,Masculino,4,0.003568,0.0,0.003568
Iasmim C. Marinho,Feminino,4,0.003568,0.0,0.098576
Daniel Zandona,Masculino,4,0.003568,0.0,0.10928
Rafael Esteves,Masculino,3,0.002676,0.0,0.080572
Weverton Cordeiro,Masculino,3,0.002676,0.0,0.080572
J. M. F. Maia,Masculino,3,0.002676,0.0,0.002676
F. S. Costa,Masculino,3,0.002676,0.0,0.002676
J. L. C. Santos,Masculino,3,0.002676,0.0,0.002676
Jose F. Netto,Masculino,3,0.002676,0.0,0.094558
Romualdo Azevedo,Masculino,3,0.002676,0.000843,0.09463
Erika C. M. Bueno,Feminino,3,0.002676,0.0,0.093885
Jessyka Vilela,Feminino,3,0.002676,0.0,0.004392
Livia C. Degrossi,Feminino,3,0.002676,0.0,0.002676
Flavio E. A. Horita,Masculino,3,0.002676,0.0,0.002676
Joao P. Albuquerque,Masculino,3,0.002676,0.0,0.002676
Marlon F. Antonio,Masculino,3,0.002676,0.0,0.092876
Dhanielly Lima,Feminino,3,0.002676,0.0,0.094558
Rafael Santos,Masculino,3,0.002676,0.0,0.002676
Nandamudi Vijaykumar,Masculino,3,0.002676,0.0,0.002676
Luciano Dutra,Masculino,3,0.002676,0.0,0.002676
Helo Petry,Masculino,3,0.002676,0.0,0.09172
Evandro A. Branco,Masculino,3,0.002676,0.0,0.103932
Ricardo Zylbergeld,Masculino,3,0.002676,0.0,0.103932
Fernando Prata,Masculino,3,0.002676,0.0,0.102823
Thalita Moraes,Feminino,3,0.002676,0.0,0.102823
Autran Macedo,Masculino,3,0.002676,0.0,0.002676
Ilmerio R. Silva,Masculino,3,0.002676,0.0,0.002676
Rogerio S. Silva,Masculino,3,0.002676,0.0,0.002676
Luiz A. C. Junio,Masculino,3,0.002676,0.0,0.012459
Thayane P. Duarte,Feminino,3,0.002676,0.0,0.012459
Lucas S. Viana,Masculino,3,0.002676,0.0,0.012459
Ana C. M. Oliveira,Feminino,3,0.002676,0.0,0.109138
Eliene Santos,Feminino,3,0.002676,0.0,0.002676
Queilane Cardoso,Feminino,3,0.002676,0.0,0.002676
Raissa K. Serrao,Feminino,3,0.002676,0.0,0.002676
Flavia Monteiro,Feminino,3,0.002676,0.0,0.002676
Daniel M. Batista,Masculino,3,0.002676,0.0,0.095971
Hiran N. M. Ferreira,Masculino,3,0.002676,0.0,0.002676
Rafael D. Araujo,Masculino,3,0.002676,0.0,0.002676
Sandra A. Amo,Feminino,3,0.002676,0.0,0.002676
Renan G. Cattelan,Masculino,3,0.002676,0.0,0.002676
Tayanne C. Silva,Feminino,3,0.002676,0.0,0.003186
Elizangela S. Miguel,Feminino,3,0.002676,0.0,0.003186
Rafael R. Morais,Masculino,3,0.002676,0.0,0.020539
Lucas S. Silva,Masculino,3,0.002676,0.0,0.003186
Cassia Nino,Feminino,3,0.002676,0.0,0.002676
Jorge Barbosa,Masculino,3,0.002676,0.0,0.002676
Sergio C. C. S. Pinto,Masculino,3,0.002676,0.0,0.002676
Debora Barbosa,Feminino,3,0.002676,0.0,0.002676
Marcella Z. Amaral,Feminino,3,0.002676,0.0,0.003974
Patricia B. S. Bassani,Feminino,3,0.002676,0.0,0.002676
Debora N. F. Barbosa,Feminino,3,0.002676,0.0,0.002676
Lucas Sauter,Masculino,3,0.002676,0.0,0.002676
Viviane A. Silva,Feminino,3,0.002676,0.0,0.002676
Davi Viana,Masculino,3,0.002676,0.0,0.092739
Gleison Santos,Masculino,3,0.002676,0.0,0.092739
Rafael L. Tavares,Masculino,3,0.002676,0.0,0.107637
Willian C. Donega,Masculino,3,0.002676,0.0,0.095861
Marco S. S. Jardim,Masculino,3,0.002676,0.0,0.002676
Raimundo S. Barreto,Masculino,3,0.002676,0.0,0.002676
Jordan Queiroz,Masculino,3,0.002676,0.0,0.094558
Samantha Correa,Feminino,3,0.002676,0.0,0.094558
Luiz A. F. Santos,Masculino,3,0.002676,0.0,0.095971
Rodrigo Campiolo,Masculino,3,0.002676,0.0,0.095971
Felipe Carmo,Masculino,3,0.002676,0.0,0.002676
Lesandro Ponciano,Masculino,3,0.002676,0.0,0.002676
Neno Albernaz,Masculino,3,0.002676,0.0,0.092567
Ricardo Costa,Masculino,3,0.002676,0.0,0.002676
Maicon H. L. F. S. Barros,Masculino,3,0.002676,0.0,0.007001
Maria E. F. Mello,Feminino,3,0.002676,0.0,0.007001
Patricia T. Endo,Feminino,3,0.002676,0.0,0.007001
Gustavo Pinto,Masculino,3,0.002676,0.0,0.077268
Luis Goes,Masculino,3,0.002676,0.0,0.002676
Arley S. Ribeiro,Masculino,3,0.002676,0.0,0.012459
Marcio Ferreira,Masculino,3,0.002676,0.0,0.114263
Eduardo Velloso,Masculino,3,0.002676,0.0,0.114263
Carlo Oliveira,Masculino,3,0.002676,0.0,0.097388
Vidal D. Fontoura,Masculino,3,0.002676,0.0,0.096118
Igor F. Steinmacher,Masculino,3,0.002676,0.0,0.096118
Carlos Lucena,Masculino,3,0.002676,0.0,0.10295
Eduardo Feitosa,Masculino,3,0.002676,0.0,0.094558
Aurea H. S. Melo,Feminino,3,0.002676,0.0,0.002676
Clara A. B. Fernandes,Feminino,3,0.002676,0.0,0.002676
Carlos Lopes,Masculino,3,0.002676,0.0,0.080676
Raquel T. Paiva,Feminino,3,0.002676,0.0,0.094168
Wendy S. Cataldo,Feminino,3,0.002676,0.0,0.094168
Luciana Brito,Feminino,3,0.002676,0.0,0.109855
Robson Oliveira,Masculino,3,0.002676,0.0,0.002676
Edeilson Silva,Masculino,3,0.002676,0.0,0.002676
Prasun Dewan,Masculino,3,0.002676,4e-06,0.015859
Mauro Amazonas,Masculino,3,0.002676,0.0,0.094953
Rogers Rocha,Masculino,3,0.002676,0.0,0.003186
Jonas H. R. Paula,Masculino,3,0.002676,1e-06,0.075069
Lynn Alves,Feminino,3,0.002676,0.0,0.096712
Larissa R. Santos,Feminino,3,0.002676,0.0,0.089814
Claudio Farias,Masculino,3,0.002676,0.0,0.089814
Henrique Serdeira,Masculino,3,0.002676,0.0,0.089814
Silvio Meira,Masculino,3,0.002676,0.0,0.002676
Leandro D. Calvao,Masculino,3,0.002676,0.0,0.110436
Hildon L. Paula,Masculino,3,0.002676,0.0,0.005247
Andreza Valgas,Feminino,3,0.002676,0.0,0.002676
Edilson H. Silva,Masculino,3,0.002676,0.0,0.019887
Leandro O. C. Vieira,Masculino,3,0.002676,0.0,0.019887
Lorena Tomagnini,Feminino,3,0.002676,0.0,0.015275
Fabio S. Silva,Masculino,3,0.002676,0.0,0.002676
Leticia C. Passos,Feminino,3,0.002676,0.0,0.002676
Lucas G. C. Evangelista,Masculino,3,0.002676,0.0,0.002676
Thiago M. Rocha,Masculino,3,0.002676,0.0,0.002676
Francis Santos,Masculino,3,0.002676,0.0,0.012459
Credine S. Menezes,Feminino,3,0.002676,0.000843,0.069298
Ivante Z. Siple,Feminino,3,0.002676,0.0,0.020539
Rafael Souza,Masculino,3,0.002676,0.0,0.080676
Daniel M. Silva,Masculino,3,0.002676,0.0,0.020539
Beatriz B. Rego,Feminino,3,0.002676,0.0,0.003186
Jean C. S. Rosa,Masculino,3,0.002676,0.0,0.003186
Guilherme D. G. Toledo,Masculino,3,0.002676,0.0,0.089781
Diego L. Bastos,Masculino,3,0.002676,0.0,0.089781
Marcio G. P. Rosa,Masculino,3,0.002676,0.0,0.108664
Sionise Gomes,Feminino,3,0.002676,0.0,0.108335
Alberto N. C. Jr,Masculino,3,0.002676,0.0,0.108335
Ana I. Santos,Feminino,3,0.002676,0.0,0.091186
Francila Weidt,Feminino,3,0.002676,0.0,0.114892
Max F. S. S. Cravo,Masculino,3,0.002676,0.0,0.102277
Vitor Campos,Masculino,3,0.002676,0.0,0.089878
Cristianna M. Ferran,Feminino,3,0.002676,0.0,0.089301
Alexandre F. Costa,Masculino,3,0.002676,0.0,0.089301
G. Robichez,Masculino,3,0.002676,0.0,0.10295
Denise P. N. Machado,Feminino,3,0.002676,0.0,0.101081
Rafael A. Ribeiro,Masculino,3,0.002676,0.0,0.066821
Filipe A. Garrido,Masculino,3,0.002676,0.0,0.003186
Douglas M. Silva,Masculino,3,0.002676,8.1e-05,0.103162
Marcos Siqueira,Masculino,3,0.002676,0.0,0.089143
Alesandro S. Santos,Masculino,3,0.002676,0.0,0.002676
Breno S. Santos,Masculino,3,0.002676,0.0,0.002676
Raphael P. Oliveira,Masculino,3,0.002676,0.0,0.002676
Marianne Silva,Feminino,3,0.002676,0.0,0.002676
Raphael O. Santos,Masculino,3,0.002676,0.0,0.002676
Fabio Fabris,Masculino,3,0.002676,0.0,0.002676
Magnos Martinello,Masculino,3,0.002676,0.0,0.002676
Cesar Marcondes,Masculino,3,0.002676,0.0,0.002676
K. Vega,Feminino,3,0.002676,0.0,0.10295
A. Pereira,Masculino,3,0.002676,0.0,0.10295
Luiz C. P. Albini,Masculino,3,0.002676,0.0,0.002676
Claudene O. Goncalves,Feminino,3,0.002676,0.0,0.002676
Airton Y. C. Toyofuku,Masculino,3,0.002676,0.0,0.002676
Erica Vilela,Feminino,3,0.002676,0.0,0.002676
Alessandro S. Santos,Masculino,3,0.002676,0.0,0.002676
Jessica I. Pegorini,Feminino,3,0.002676,0.0,0.002676
Alinne C. C. Souza,Feminino,3,0.002676,0.0,0.002676
Francisco C. M. Souza,Masculino,3,0.002676,0.0,0.002676
Lais P. V. Vossen,Feminino,3,0.002676,0.0,0.015279
Luciana B. Frigo,Feminino,3,0.002676,0.0,0.015279
Jefferson O. Silva,Masculino,3,0.002676,0.0,0.103119
Fabricio S. Soares,Masculino,3,0.002676,0.0,0.015859
Carlos H. Q. Forster,Masculino,3,0.002676,0.0,0.015859
Christopher V. Lima,Masculino,3,0.002676,0.0,0.002676
Roberto Willrich,Masculino,3,0.002676,0.0,0.002676
Eduardo G. Oliveira,Masculino,3,0.002676,0.0,0.077796
Claudia Mottas,Feminino,3,0.002676,0.0,0.077796
Romeu A. Sousa,Masculino,3,0.002676,0.0,0.102277
Erick Silveira,Masculino,3,0.002676,0.0,0.020539
Vaninha V. Santos,Feminino,3,0.002676,0.0,0.102529
Antonilson S. Alcantara,Masculino,3,0.002676,0.0,0.054086
Sandro R. B. Oliveira,Masculino,3,0.002676,0.0,0.054086
Raimundo V. Junior,Masculino,3,0.002676,0.0,0.054086
Willyan M. Ferreira,Masculino,3,0.002676,0.0,0.013938
Ana P. C. Silva,Feminino,3,0.002676,0.0,0.013938
Luiz H. C. Merschmann,Masculino,3,0.002676,0.0,0.013938
Avelino Ferreira,Masculino,3,0.002676,0.0,0.099872
Alvaro Penna,Masculino,3,0.002676,0.0,0.099872
Viviane Azevedo,Feminino,3,0.002676,0.0,0.099872
Joao C. Goncalves,Masculino,3,0.002676,0.0,0.10773
Jose V. S. Filho,Masculino,3,0.002676,0.0,0.080858
Carlo E. T. Oliveira,Masculino,3,0.002676,0.0,0.095278
Paulo Ferreira,Masculino,3,0.002676,0.0,0.097768
Walkir A. T. Brito,Masculino,3,0.002676,0.0,0.089301
Luciana Salgado,Feminino,3,0.002676,0.0,0.105596
Flavio Seixas,Masculino,3,0.002676,0.0,0.105596
Ana P. Pimentel,Feminino,3,0.002676,0.0,0.077796
Lucas Hanauer,Masculino,3,0.002676,0.0,0.110827
Marinalva D. Soares,Feminino,3,0.002676,0.0,0.002676
Claudia L. Motta,Feminino,3,0.002676,0.0,0.094309
Carlo E. Oliveira,Masculino,3,0.002676,0.0,0.094309
Aloysio C. P. Pedroza,Masculino,3,0.002676,0.0,0.080858
Jean-Pierre Courtiat,Masculino,3,0.002676,0.0,0.080858
Jean Zahn,Masculino,3,0.002676,0.0,0.003974
Daniela Trevisan,Feminino,3,0.002676,0.0,0.003974
Maria T. Gouvea,Feminino,3,0.002676,0.0,0.117148
Daniel M. A. Silva,Masculino,3,0.002676,0.0,0.020882
Jose T. Silva,Masculino,3,0.002676,0.0,0.103119
Rodrigo F. Macedo,Masculino,3,0.002676,0.0,0.002855
Ana L. Gomes,Feminino,3,0.002676,0.0,0.002855
David C. Maia,Masculino,3,0.002676,0.0,0.002855
Victor Raft,Masculino,3,0.002676,0.0,0.096674
Fernando A. M. Filho,Masculino,3,0.002676,1e-06,0.080858
Sean W. M. Siqueira,Masculino,3,0.002676,3e-06,0.002676
Roberta Lima-Gomes,Feminino,3,0.002676,0.0,0.002676
Guillermo J. Hoyos-Rivera,Masculino,3,0.002676,0.0,0.002676
Paula C. Ribeiro,Feminino,3,0.002676,0.0,0.098498
Priscilla Braz,Feminino,3,0.002676,0.0,0.098498
Renata Araujo,Feminino,3,0.002676,0.00113,0.100837
Lucas S. Oliveira,Masculino,3,0.002676,3e-06,0.002676
Mariana Peixoto,Feminino,3,0.002676,0.0,0.004392
Vitor Bremgartner,Masculino,3,0.002676,0.0,0.094558
Bruno S. Nascimento,Masculino,3,0.002676,0.0,0.111369
Rodrigo C. Andrade,Masculino,3,0.002676,0.0,0.111369
Diana C. A. C.,Feminino,3,0.002676,0.0,0.105953
Reinaldo Cardoso,Masculino,3,0.002676,0.0,0.090267
Simone F. Tonhao,Feminino,3,0.002676,0.0,0.09267
Williamson Silva,Masculino,3,0.002676,0.0,0.09267
Thelma Colanzi,Feminino,3,0.002676,0.0,0.09267
Karine A. Cordova,Feminino,3,0.002676,0.0,0.015279
Leila M. Antunes,Feminino,3,0.002676,0.0,0.105953
Victor R. O. Nunes,Masculino,3,0.002676,0.0,0.096674
Polyana G. Finamor,Feminino,3,0.002676,0.0,0.093885
Thaynara Cardoso,Feminino,3,0.002676,0.0,0.093885
Isadora C. Rodrigues,Feminino,3,0.002676,0.0,0.013938
Julio C. S. Reis,Masculino,3,0.002676,0.0,0.013938
Bernardo L. Queiroz,Masculino,3,0.002676,0.0,0.013938
Jessica Castro,Feminino,3,0.002676,0.0,0.002676
Iury Araujo,Masculino,3,0.002676,0.0,0.002676
Fernando Matos,Masculino,3,0.002676,0.0,0.002676
Eudisley Anjos,Masculino,3,0.002676,0.0,0.002676
Paulo B. Costa,Masculino,3,0.002676,0.0,0.088326
Lucas V. Ribeiro,Masculino,3,0.002676,0.0,0.088326
Ivanete Z. Siple,Feminino,3,0.002676,0.0,0.020539
Anrafel F. Pereira,Masculino,3,0.002676,0.0,0.089781
K. J. A. Serique,Masculino,3,0.002676,0.0,0.002676
Enzo Kleinpaul,Masculino,3,0.002676,0.0,0.106812
Alexandre Pires,Masculino,3,0.002676,0.0,0.106812
Patricia Tedesco,Feminino,3,0.002676,0.0,0.09172
Guilherme Miranda,Masculino,3,0.002676,0.0,0.08734
Joao A. Souza,Masculino,3,0.002676,0.0,0.08734
Felipe L. Silva,Masculino,3,0.002676,0.0,0.002676
Roberto Araujo,Masculino,3,0.002676,0.0,0.002676
Lucas M. Silva,Masculino,3,0.002676,0.0,0.002676
Nelson N. Sampaio,Masculino,3,0.002676,0.0,0.002676
Roberto S. Rocha,Masculino,3,0.002676,0.0,0.002676
Joao N. Souza,Masculino,3,0.002676,0.0,0.002676
Breno Franca,Masculino,3,0.002676,0.0,0.080572
Wellynton Diniz,Masculino,3,0.002676,0.0,0.109759
Cesar Franca,Masculino,3,0.002676,0.0,0.109759
Joao F. S. Silva,Masculino,3,0.002676,0.0,0.004392
Eliane M. Bortoli,Feminino,2,0.001784,0.0,0.004956
Patricia A. Tedesco,Feminino,2,0.001784,0.0,0.077244
Sandra A. Siebra,Feminino,2,0.001784,0.0,0.077244
Jose N. B. Silva,Masculino,2,0.001784,0.0,0.094523
Marcia S. Lima,Feminino,2,0.001784,0.0,0.094523
Fabricio Enembreck,Masculino,2,0.001784,0.0,0.004956
Guillermo J. H. Rivera,Masculino,2,0.001784,0.0,0.080832
Jean P. Courtiat,Masculino,2,0.001784,0.0,0.080832
Wagner V. Sampaio,Masculino,2,0.001784,0.0,0.003643
Kairo H. A. Tavares,Masculino,2,0.001784,0.0,0.003643
Marcus V. A. B. Matos,Masculino,2,0.001784,0.0,0.001784
Simone C. Santos,Feminino,2,0.001784,0.0,0.001784
Esdras L. B. Jr.,Masculino,2,0.001784,0.0,0.001784
Alexandre T. R. Silva,Masculino,2,0.001784,2e-06,0.001784
Maira G. Bayser,Feminino,2,0.001784,0.0,0.002007
Thiago M. R. Ribeiro,Masculino,2,0.001784,0.0,0.002007
Leornado O. Moreira,Masculino,2,0.001784,0.0,0.004078
Francisco E. A. V. Junior,Masculino,2,0.001784,0.0,0.004078
Carlos E. R. Mello,Masculino,2,0.001784,0.0,0.09385
Sergio R. P. Silva,Masculino,2,0.001784,0.0,0.004956
Josiane M. P. Ferreira,Feminino,2,0.001784,0.0,0.004956
Natalia S. Santos,Feminino,2,0.001784,0.0,0.014967
Jose G. P. Filho,Masculino,2,0.001784,0.0,0.080832
Elaine H. T. Oliveira,Feminino,2,0.001784,0.0,0.001784
Ilmara M. M. Ramos,Feminino,2,0.001784,0.0,0.001784
Ramon R. M. Vieira,Masculino,2,0.001784,0.0,0.069278
Narallynne Araujo,Feminino,2,0.001784,0.0,0.08361
Leandro Melo,Masculino,2,0.001784,0.0,0.08361
Roberto A. Bittencourt,Masculino,2,0.001784,0.0,0.001784
Vania M. F. Dias,Feminino,2,0.001784,0.0,0.001784
Jussara Rodrigues,Feminino,2,0.001784,0.0,0.001784
Helena Araujo,Feminino,2,0.001784,0.0,0.001784
Nilmara Salgado,Feminino,2,0.001784,0.0,0.089174
Juan X. Calles,Masculino,2,0.001784,0.0,0.080832
Nayat Sanchez-Pi,Feminino,2,0.001784,0.0,0.001784
Marilton M. Cerqueira,Masculino,2,0.001784,0.0,0.001784
Douglas C. Cerqueira,Masculino,2,0.001784,0.0,0.001784
Israel S. Aguiar,Masculino,2,0.001784,0.0,0.002007
Marcelo S. Amaral,Masculino,2,0.001784,0.0,0.002007
Marcelo S. Hounsell,Masculino,2,0.001784,0.0,0.019731
Claudinei Dias,Masculino,2,0.001784,0.0,0.019731
Celso A. Santos,Masculino,2,0.001784,0.0,0.080832
Daniel C. Paiva,Masculino,2,0.001784,0.0,0.001784
Renato A. O. Fogaca,Masculino,2,0.001784,0.0,0.001784
Lennon V. A. Dias,Masculino,2,0.001784,0.0,0.001784
Glívia A. R. Barbosa,Feminino,2,0.001784,0.0,0.013938
Victor M. O. Pereira,Masculino,2,0.001784,0.0,0.013938
Luiz F. Reinoso,Masculino,2,0.001784,0.0,0.069259
Marcelo W. Barbosa,Masculino,2,0.001784,0.0,0.015171
Luis Marti,Masculino,2,0.001784,0.0,0.001784
Daniel Cinalli,Masculino,2,0.001784,0.0,0.001784
Simone D. Barbosa,Feminino,2,0.001784,0.0,0.069838
Marcus F. C. Alencar,Masculino,2,0.001784,0.0,0.069838
Douglas Villalba,Masculino,2,0.001784,0.0,0.090527
Henrique P. S. Sousa,Masculino,2,0.001784,0.0,0.09385
Ulla L. Didriksson,Feminino,2,0.001784,0.0,0.09385
Fernanda C. S. Araujo,Feminino,2,0.001784,0.0,0.109185
Vanessa T. Nunes,Feminino,2,0.001784,0.0,0.106675
Marta C. Rosatelli,Feminino,2,0.001784,0.0,0.002379
Carlos E. Goncalves,Masculino,2,0.001784,0.0,0.002379
Helder Coelho,Masculino,2,0.001784,0.0,0.001784
Jaime S. Sichman,Masculino,2,0.001784,0.0,0.001784
Diana F. Adamatti,Feminino,2,0.001784,0.0,0.001784
Victorio A. Carvalho,Masculino,2,0.001784,0.0,0.001784
Vagner Sacramento,Masculino,2,0.001784,0.0,0.001784
Janisson G. Souza,Masculino,2,0.001784,0.0,0.001784
Methanias C. Junior,Masculino,2,0.001784,0.0,0.001784
Yan H. Kabuki,Masculino,2,0.001784,0.0,0.079802
Tainan G. F. Souza,Masculino,2,0.001784,0.0,0.079802
Marcelo K. Nishi,Masculino,2,0.001784,0.0,0.092842
Felipe Fonseca,Masculino,2,0.001784,0.0,0.092704
Renan F. Almeida,Masculino,2,0.001784,0.0,0.069259
Dhanielly P. R. Lima,Feminino,2,0.001784,0.0,0.001784
Jose F. M. Netto,Masculino,2,0.001784,0.0,0.001784
Francisco S. S. Neto,Masculino,2,0.001784,0.0,0.001784
Luana L. Rodrigues,Feminino,2,0.001784,0.0,0.002788
Arthur O. Silva,Masculino,2,0.001784,0.0,0.002788
Joanna L. Q. Marques,Feminino,2,0.001784,0.0,0.001784
Talita L. Menezes,Feminino,2,0.001784,0.0,0.001784
Marilia S. Mendes,Feminino,2,0.001784,0.0,0.002379
Denilson C. Oliveira,Masculino,2,0.001784,0.0,0.002379
Nazareno F. Andrade,Masculino,2,0.001784,0.0,0.001784
Carlos A. Goncalves,Masculino,2,0.001784,0.0,0.001784
Fabio M. Costa,Masculino,2,0.001784,0.0,0.001784
Lucas L. Provensi,Masculino,2,0.001784,0.0,0.001784
Diogo Krejci,Masculino,2,0.001784,0.0,0.107637
Rafael M. Feitosa,Masculino,2,0.001784,0.0,0.080546
Danilo B. Lima,Masculino,2,0.001784,0.0,0.075046
Luis T. O. Camargo,Masculino,2,0.001784,0.0,0.075046
Giovana B. R. Linhares,Feminino,2,0.001784,0.0,0.099912
Claudia Lage,Feminino,2,0.001784,0.0,0.0992
Milena B. Pereira,Feminino,2,0.001784,0.0,0.085464
Samara Souza,Feminino,2,0.001784,0.0,0.076443
Wendy Mendes,Feminino,2,0.001784,0.0,0.076443
Gabriel F. Pereira,Masculino,2,0.001784,0.0,0.106812
Jose C. D. Arco,Masculino,2,0.001784,0.0,0.091153
Albert Moreira,Masculino,2,0.001784,0.0,0.091153
Tania Fraga,Feminino,2,0.001784,0.0,0.01576
Markus Endler,Masculino,2,0.001784,2e-06,0.001784
Hedo E. S. Junior,Masculino,2,0.001784,0.0,0.002788
Leonardo B. Genuino,Masculino,2,0.001784,0.0,0.002788
Jaline G. Mombach,Feminino,2,0.001784,0.0,0.001784
Wagner S. Marques,Masculino,2,0.001784,0.0,0.001784
Paulo S. S. Souza,Masculino,2,0.001784,0.0,0.001784
Carolina Toscani,Feminino,2,0.001784,0.0,0.104278
Katia Moraes,Feminino,2,0.001784,0.0,0.077772
Jano Souza,Masculino,2,0.001784,0.0,0.077772
Rodrigo Monteiro,Masculino,2,0.001784,0.0,0.106812
