Autor,Gênero,Coautores Diretos,Centralidade Grau,Intermediacao (Betweenness),Proximidade (Closeness)
Renata M. Araujo,Feminino,7,0.006244,0.002502,0.113231
Fabiola S. F. Sell,Feminino,7,0.006244,1e-05,0.021236
Raimundo M. A. Junior,Masculino,7,0.006244,2.2e-05,0.006244
Leonardo Vasconcelos,Masculino,7,0.006244,6e-06,0.006244
Bruna Diirr,Feminino,7,0.006244,0.005098,0.102487
Daniel Oliveira,Masculino,7,0.006244,0.003352,0.087462
Jose Viterbo,Masculino,7,0.006244,6e-06,0.006244
Tadeu M. Classe,Masculino,7,0.006244,0.001766,0.093361
Allyson A. Araujo,Masculino,7,0.006244,3e-06,0.006244
Filipe R. Cogo,Masculino,7,0.006244,0.000764,0.103545
Rosiane Freitas,Feminino,7,0.006244,0.000195,0.095278
Rian D. Alves,Masculino,7,0.006244,0.00083,0.090007
Ana M. Lima,Feminino,6,0.005352,0.0,0.005352
Gledson Elias,Masculino,6,0.005352,0.0,0.005352
Darcio M. O. Silva,Masculino,6,0.005352,0.0,0.005352
Antonia N. F. Lima,Feminino,6,0.005352,0.0,0.005352
Sebastiao R. Jr,Masculino,6,0.005352,0.0,0.005352
Gustavo Zurita,Masculino,6,0.005352,0.0,0.005352
Isabel Sa,Feminino,6,0.005352,0.0,0.005352
Joao Faria,Masculino,6,0.005352,0.0,0.005352
Marco Sa,Masculino,6,0.005352,0.0,0.005352
Francisco M. Neto,Masculino,6,0.005352,0.0,0.005352
Adriana E. Oliveira,Feminino,6,0.005352,0.0,0.005352
Amilcar Soares,Masculino,6,0.005352,0.0,0.005352
Lucas Araujo,Masculino,6,0.005352,0.0,0.005352
Davi L. Silva,Masculino,6,0.005352,0.0,0.005352
Anna B. S. Marques,Feminino,6,0.005352,0.0,0.005352
Raoni Kulesza,Masculino,6,0.005352,0.0,0.005352
Luiz G. P. Alves,Masculino,6,0.005352,0.0,0.005352
Ricardo Pereira,Masculino,6,0.005352,0.0,0.005352
Marcos F. Jardini,Masculino,6,0.005352,0.0,0.005352
Fernando L. Almeida,Masculino,6,0.005352,0.0,0.005352
Clara Caldeira,Feminino,6,0.005352,0.001525,0.091286
Raquel Prates,Feminino,6,0.005352,0.000153,0.014388
Luciano A. Teran,Masculino,6,0.005352,1e-06,0.080858
Alan T. A. Silva,Masculino,6,0.005352,1e-06,0.080858
Leandro A. Melo,Masculino,6,0.005352,2e-06,0.08526
Djalma A. Lima,Feminino,6,0.005352,0.0,0.005352
Eduardo C. Dalcin,Masculino,6,0.005352,0.0,0.005352
Kleto M. Zan,Masculino,6,0.005352,0.0,0.005352
Luis Carrico,Masculino,6,0.005352,0.0,0.005352
Geraldo Z. Silva,Masculino,6,0.005352,0.0,0.005352
Filipe B. Carmo,Masculino,6,0.005352,0.0,0.005352
Marco A. Vaz,Masculino,6,0.005352,0.0,0.005352
Artur S. Rozestraten,Masculino,6,0.005352,0.0,0.096081
Alessandro Costa,Masculino,6,0.005352,0.0,0.006021
Andre Chou,Masculino,6,0.005352,0.0,0.096081
